@relation 'estado_cultivo-weka.filters.unsupervised.attribute.Remove-R1-3,16-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5-6'

@attribute CULTIVO {SAbila,'Aguacate demAs variedades','Banano consumo interno',Granadilla,Guayaba,'Gulupa o cholupa',Lulo,'Pina demAs variedades','PlAtano consumo interno','Otros cItricos','MaIz Tradicional','MaIz Tecnificado','Cebolla De Rama',Cilantro,Lechuga,PimentOn,Repollo,Tomate,Zanahoria,'Papa todas las variedades',Iraca,Fresa,Mora,'Tomate de Arbol',GuanAbana,Esparrago,'Tomate Invernadero',MaracuyA,'Papaya  demAs variedades','Otras hortalizas',Habichuela,'LimOn  Pajarito','Mango demAs variedades','Naranja demAs variedades',Ahuyama,Patilla,'Yuca consumo en fresco','Otros frutales','Cebolla De Bulbo','Pepino Cohombro',Remolacha,Mangostino,Chontaduro,Brevo,Feijoa,'Plantas AromAticas','Aguacate Hass','Aguacate Papelillo','LimOn  TahitI','Mandarina Arrayana y/o Oneco','Naranja Valencia','Papaya  Hawaiana, Maradol, Melona, Redonda y/o Tainung',Albahaca,'Sacha inchi',Macadamia,Zapote,'Papa Criolla',Arracacha,Cacao,CafE,'Cana Panelera',Frijol,Fique,Arveja,'Cana de AzUcar','MaIz Amarillo Tradicional','MaIz Blanco Tradicional','MaIz Amarillo Tecnificado','MaIz Blanco Tecnificado','Palma de aceite'}
@attribute 'CICLO DE CULTIVO' {Permanente,Transitorio}
@attribute 'GRUPO CULTIVO' {'Cultivos para Condimentos y Bebidas Medicinales y AromAticas',Frutales,Cereales,Hortalizas,'RaIces y TubErculos','Cultivos Tropicales Tradicionales',Leguminosas,Oleaginosas}
@attribute SUBGRUPO {Medicinales,'Demas frutales',PasiflorAceas,MirtAceas,SolanAceas,CItricos,Cereales,'Hortalizas de Tallo','Hortalizas de Hoja','Hortalizas de Futo','Hortalizas de raIz','RaIces y TubErculos','Cultivos Tropicales Tradicionales',AnonAceas,Hortalizas,Leguminosas,ArAceas,'Cultivos para Condimentos y Bebidas Medicinales y AromAticas',AromAticas,Oleaginosas}
@attribute 'Area Sembrada(ha)' numeric
@attribute 'AREA COSECHADA(ha)' numeric
@attribute PRODUCCION(t) numeric
@attribute RENDIMIENTO(t/ha) numeric
@attribute 'NOMBRE CIENTIFICO CULTIVO' {'Aloe vera','Persea americana','Musa cavendishii','Passiflora ligularis.','Psidium guajava L.','Passiflora edulis Sims fo. Edulis','Solanum quitoense Lam','Ananas comosus L. Merr.','Musa paradisiaca L.','No aplica','Zea mays','Allium fistulosum','Coriandrum sativum','Lactuca sativa','Capsicum annuum L','Brassica oleracea var. capitata','Lycopersicon esculentum','Daucus carota','Solanum tuberosum','Carludovica palmata','Fragaria vesca','Morus ssp','Solanum betaceum','Annona muricata L.','Asparagus officinalis','Passiflora edulis','Carica papaya','Phaseolus vulgaris','Citrus limon L.','Mangifera indica L','Citrus sinensis L. OSBECK','Cucurbita maxima','Citrullus lanatus','Manihot esculenta','Allium cepa','Cucumis sativus','Beta vulgaris','Garcinia mangostana L.','Bactris gasipaes Kunth','Ficus carica L.','Feijoa sellowiana berg.','Persea americana hass','Persea americana mill','Citrus reticulata','Ocimun basilicum L.','Plukenetia volubilis','Macadamia integrifolia','Pouteria sapota','Arracacia xanthorrhiza','Theobrama cacao L.','Coffea arabica L.','Saccharum officinarum L.','Phaseolus sp.','Furcraea gigantea','Pisum sativum','Elaeis guineensis Jacq.'}
@attribute 'ESTADO FISICO DEL CULTIVO' {'En fresco','Grano seco','Pergamino o seco de trilla','Cana o verde',Otros}

@data
MaracuyA,Permanente,Frutales,PasiflorAceas,15,15,150,10,'Passiflora edulis','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',1077,1077,21540,20,'Musa paradisiaca L.','En fresco'
'Otros cItricos',Permanente,Frutales,CItricos,212,96,2400,25,'No aplica','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,7,7,7,1,'Zea mays','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',13,13,520,40,'Lycopersicon esculentum','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,6,6,6,1,'Zea mays','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',21,21,760,36.19,'Lycopersicon esculentum','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',506,469,3733,7.96,'Persea americana','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',170,156,1028,6.59,'Musa paradisiaca L.','En fresco'
'Otros cItricos',Permanente,Frutales,CItricos,65,65,806,12.4,'No aplica','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,120,120,269,2.24,'Zea mays','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',0,0,0,0,'Lycopersicon esculentum','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,208,208,408,1.96,'Zea mays','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',8,8,151,18.88,'Lycopersicon esculentum','En fresco'
'Aguacate Hass',Permanente,Frutales,'Demas frutales',879.25,107.25,1072.5,10,'Persea americana hass','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',138.55,130.55,1044.4,8,'Persea americana mill','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',896.2,893.2,6252.4,7,'Persea americana','En fresco'
Brevo,Permanente,Frutales,'Demas frutales',6,5,55,11,'Ficus carica L.','En fresco'
Feijoa,Permanente,Frutales,MirtAceas,1,1,5.5,5.5,'Feijoa sellowiana berg.','En fresco'
Fresa,Permanente,Frutales,'Demas frutales',4,2,80,40,'Fragaria vesca','En fresco'
Granadilla,Permanente,Frutales,PasiflorAceas,28,4,32,8,'Passiflora ligularis.','En fresco'
'Gulupa o cholupa',Permanente,Frutales,PasiflorAceas,4,2,10,5,'Passiflora edulis Sims fo. Edulis','En fresco'
Lulo,Permanente,Frutales,SolanAceas,29,24,192,8,'Solanum quitoense Lam','En fresco'
Mora,Permanente,Frutales,'Demas frutales',45,6,48,8,'Morus ssp','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',38,8,40,5,'Musa paradisiaca L.','En fresco'
'Tomate de Arbol',Permanente,Frutales,SolanAceas,16,14,98,7,'Solanum betaceum','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,8,6,9,1.5,'Zea mays','En fresco'
'Plantas AromAticas',Transitorio,'Cultivos para Condimentos y Bebidas Medicinales y AromAticas','Cultivos para Condimentos y Bebidas Medicinales y AromAticas',4,4,4,1,'No aplica','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',35,33,957,29,'Allium fistulosum','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',10,10,1280,128,'Lycopersicon esculentum','En fresco'
'Otras hortalizas',Transitorio,Hortalizas,Hortalizas,320,320,7360,23,'No aplica','En fresco'
'Papa todas las variedades',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',117,117,1404,12,'Solanum tuberosum','En fresco'
'Plantas AromAticas',Transitorio,'Cultivos para Condimentos y Bebidas Medicinales y AromAticas','Cultivos para Condimentos y Bebidas Medicinales y AromAticas',4,4,4,1,'No aplica','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',35,35,980,28,'Allium fistulosum','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',10,10,1250,125,'Lycopersicon esculentum','En fresco'
'Otras hortalizas',Transitorio,Hortalizas,Hortalizas,320,320,7040,22,'No aplica','En fresco'
'Papa todas las variedades',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',117,80,960,12,'Solanum tuberosum','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',22,22,616,28,'Persea americana','En fresco'
'Banano consumo interno',Permanente,Frutales,'Demas frutales',5,5,100,20,'Musa cavendishii','En fresco'
GuanAbana,Permanente,Frutales,AnonAceas,15,15,150,10,'Annona muricata L.','En fresco'
MaracuyA,Permanente,Frutales,PasiflorAceas,2,1,30,30,'Passiflora edulis','En fresco'
'Papaya  demAs variedades',Permanente,Frutales,'Demas frutales',3.5,0.5,20,40,'Carica papaya','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',133,117,1170,10,'Musa paradisiaca L.','En fresco'
'Otros cItricos',Permanente,Frutales,CItricos,342,333,9324,28,'No aplica','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,1,1,4,4,'Zea mays','En fresco'
'MaIz Tecnificado',Transitorio,Cereales,Cereales,28,28,168,6,'Zea mays','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,1,1,4,4,'Zea mays','En fresco'
'MaIz Tecnificado',Transitorio,Cereales,Cereales,30,30,180,6,'Zea mays','En fresco'
SAbila,Permanente,'Cultivos para Condimentos y Bebidas Medicinales y AromAticas',Medicinales,2.1,2.1,84,40,'Aloe vera','En fresco'
'Aguacate Hass',Permanente,Frutales,'Demas frutales',124.76,105.76,2538.24,24,'Persea americana hass','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',115.09,73.09,584.72,8,'Persea americana mill','En fresco'
'Banano consumo interno',Permanente,Frutales,'Demas frutales',133,115,1092.5,9.5,'Musa cavendishii','En fresco'
Guayaba,Permanente,Frutales,MirtAceas,136,136,2176,16,'Psidium guajava L.','En fresco'
'Gulupa o cholupa',Permanente,Frutales,PasiflorAceas,0.8,0.8,28.8,36,'Passiflora edulis Sims fo. Edulis','En fresco'
'LimOn  TahitI',Permanente,Frutales,CItricos,206.3,90.3,993.3,11,'Citrus limon L.','En fresco'
'Mandarina Arrayana y/o Oneco',Permanente,Frutales,CItricos,59.88,54.24,1356,25,'Citrus reticulata','En fresco'
'Naranja Valencia',Permanente,Frutales,CItricos,312.56,307.56,7996.56,26,'Citrus sinensis L. OSBECK','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',1579,1461,24106.5,16.5,'Musa paradisiaca L.','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',0.51,0.5,11.5,23,'Allium fistulosum','En fresco'
Cilantro,Transitorio,Hortalizas,'Hortalizas de Hoja',1.44,1.43,11.44,8,'Coriandrum sativum','En fresco'
Lechuga,Transitorio,Hortalizas,'Hortalizas de Hoja',0.44,0.43,5.59,13,'Lactuca sativa','En fresco'
PimentOn,Transitorio,Hortalizas,'Hortalizas de Futo',0.12,0.11,1.98,18,'Capsicum annuum L','En fresco'
Repollo,Transitorio,Hortalizas,'Hortalizas de Hoja',0.54,0.53,6.36,12,'Brassica oleracea var. capitata','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',2.35,2.34,60.84,26,'Lycopersicon esculentum','En fresco'
'Papa todas las variedades',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',57,56,728,13,'Solanum tuberosum','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',0.3,0.3,6.97,23.23,'Allium fistulosum','En fresco'
Cilantro,Transitorio,Hortalizas,'Hortalizas de Hoja',0.18,0.18,1.43,7.94,'Coriandrum sativum','En fresco'
Lechuga,Transitorio,Hortalizas,'Hortalizas de Hoja',0.21,0.21,2.69,12.81,'Lactuca sativa','En fresco'
PimentOn,Transitorio,Hortalizas,'Hortalizas de Futo',0.01,0.01,0.21,21,'Capsicum annuum L','En fresco'
Repollo,Transitorio,Hortalizas,'Hortalizas de Hoja',0.36,0.36,4.27,11.86,'Brassica oleracea var. capitata','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',3.82,3.82,99.27,25.99,'Lycopersicon esculentum','En fresco'
'Papa todas las variedades',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',193,193,2509,13,'Solanum tuberosum','En fresco'
Iraca,Permanente,'Cultivos Tropicales Tradicionales','Cultivos Tropicales Tradicionales',18,16,40,2.5,'Carludovica palmata','En fresco'
'Aguacate Hass',Permanente,Frutales,'Demas frutales',1502,1502,16521.94,11,'Persea americana hass','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',86.57,69.57,765.27,11,'Persea americana mill','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',437.32,387.32,4260.58,11,'Persea americana','En fresco'
'Banano consumo interno',Permanente,Frutales,'Demas frutales',300,270,675,2.5,'Musa cavendishii','En fresco'
Fresa,Permanente,Frutales,'Demas frutales',19,19,76,4,'Fragaria vesca','En fresco'
Granadilla,Permanente,Frutales,PasiflorAceas,54,54,540,10,'Passiflora ligularis.','En fresco'
'Gulupa o cholupa',Permanente,Frutales,PasiflorAceas,17,15,281.25,18.75,'Passiflora edulis Sims fo. Edulis','En fresco'
'LimOn  Pajarito',Permanente,Frutales,CItricos,34.26,30.26,393.39,13,'Citrus limon L.','En fresco'
'LimOn  TahitI',Permanente,Frutales,CItricos,114.45,94.45,944.55,10,'Citrus limon L.','En fresco'
Lulo,Permanente,Frutales,SolanAceas,65,65,975,15,'Solanum quitoense Lam','En fresco'
'Mandarina Arrayana y/o Oneco',Permanente,Frutales,CItricos,263.24,239.24,3588.53,15,'Citrus reticulata','En fresco'
Mora,Permanente,Frutales,'Demas frutales',813,813,14227.5,17.5,'Morus ssp','En fresco'
'Naranja Valencia',Permanente,Frutales,CItricos,1354.78,1304.78,21437.52,16.43,'Citrus sinensis L. OSBECK','En fresco'
'Naranja demAs variedades',Permanente,Frutales,CItricos,7.27,7.27,189.02,26,'Citrus sinensis L. OSBECK','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',1885,1785,4462.5,2.5,'Musa paradisiaca L.','En fresco'
'Tomate de Arbol',Permanente,Frutales,SolanAceas,55,55,982.3,17.86,'Solanum betaceum','En fresco'
Cilantro,Transitorio,Hortalizas,'Hortalizas de Hoja',12,12,114,9.5,'Coriandrum sativum','En fresco'
Repollo,Transitorio,Hortalizas,'Hortalizas de Hoja',2.3,2.3,113,49.13,'Brassica oleracea var. capitata','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',23,23,410,17.83,'Lycopersicon esculentum','En fresco'
'Papa todas las variedades',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',10,10,22,2.2,'Solanum tuberosum','En fresco'
Cilantro,Transitorio,Hortalizas,'Hortalizas de Hoja',2,2,30,15,'Coriandrum sativum','En fresco'
Repollo,Transitorio,Hortalizas,'Hortalizas de Hoja',3,3,75,25,'Brassica oleracea var. capitata','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',9,9,409,45.44,'Lycopersicon esculentum','En fresco'
'Aguacate Hass',Permanente,Frutales,'Demas frutales',508.05,508.05,5080.5,10,'Persea americana hass','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',15,6,36,6,'Persea americana mill','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',561.65,0,0,0,'Persea americana','En fresco'
GuanAbana,Permanente,Frutales,AnonAceas,5,0,0,0,'Annona muricata L.','En fresco'
Guayaba,Permanente,Frutales,MirtAceas,8,5,20,4,'Psidium guajava L.','En fresco'
'LimOn  TahitI',Permanente,Frutales,CItricos,120,120,1559.99,13,'Citrus limon L.','En fresco'
'Mandarina Arrayana y/o Oneco',Permanente,Frutales,CItricos,272.7,62.7,940.57,15,'Citrus reticulata','En fresco'
'Naranja Valencia',Permanente,Frutales,CItricos,1360.33,1357.33,12215.96,9,'Citrus sinensis L. OSBECK','En fresco'
'Pina demAs variedades',Permanente,Frutales,'Demas frutales',11,11,77,7,'Ananas comosus L. Merr.','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',3976,3972,59580,15,'Musa paradisiaca L.','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',1,1,12,12,'Allium fistulosum','En fresco'
Cilantro,Transitorio,Hortalizas,'Hortalizas de Hoja',1,1,5,5,'Coriandrum sativum','En fresco'
Esparrago,Transitorio,Hortalizas,'Hortalizas de Tallo',60,55,220,4,'Asparagus officinalis','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',10,8,205,25.62,'Lycopersicon esculentum','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',12,10,320,32,'Lycopersicon esculentum','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',1,1,12,12,'Allium fistulosum','En fresco'
Cilantro,Transitorio,Hortalizas,'Hortalizas de Hoja',1,1,5,5,'Coriandrum sativum','En fresco'
Esparrago,Transitorio,Hortalizas,'Hortalizas de Tallo',33,30,94,3.13,'Asparagus officinalis','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',10,8,187,23.38,'Lycopersicon esculentum','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',10,10,288,28.8,'Lycopersicon esculentum','En fresco'
'Aguacate Hass',Permanente,Frutales,'Demas frutales',2894.2,1900.2,19002,10,'Persea americana hass','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',7.6,7.6,60.8,8,'Persea americana mill','En fresco'
'Gulupa o cholupa',Permanente,Frutales,PasiflorAceas,15,15,375,25,'Passiflora edulis Sims fo. Edulis','En fresco'
Lulo,Permanente,Frutales,SolanAceas,10,10,120,12,'Solanum quitoense Lam','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',320,320,2240,7,'Musa paradisiaca L.','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',20,19,95,5,'Allium fistulosum','En fresco'
Repollo,Transitorio,Hortalizas,'Hortalizas de Hoja',20,20,440,22,'Brassica oleracea var. capitata','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',10,10,180,18,'Lycopersicon esculentum','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',20,19,95,5,'Allium fistulosum','En fresco'
Repollo,Transitorio,Hortalizas,'Hortalizas de Hoja',20,20,200,10,'Brassica oleracea var. capitata','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',10,10,180,18,'Lycopersicon esculentum','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',37.96,25.96,181.72,7,'Persea americana mill','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',330.04,330.04,2640.32,8,'Persea americana','En fresco'
'Banano consumo interno',Permanente,Frutales,'Demas frutales',52,47,752,16,'Musa cavendishii','En fresco'
GuanAbana,Permanente,Frutales,AnonAceas,5,5,75,15,'Annona muricata L.','En fresco'
Guayaba,Permanente,Frutales,MirtAceas,4,4,40,10,'Psidium guajava L.','En fresco'
'LimOn  TahitI',Permanente,Frutales,CItricos,29.14,14.14,110.01,7.78,'Citrus limon L.','En fresco'
Lulo,Permanente,Frutales,SolanAceas,7,6,72,12,'Solanum quitoense Lam','En fresco'
'Mandarina Arrayana y/o Oneco',Permanente,Frutales,CItricos,20,20,180,9,'Citrus reticulata','En fresco'
MaracuyA,Permanente,Frutales,PasiflorAceas,16.5,16.5,75.08,4.55,'Passiflora edulis','En fresco'
'Naranja Valencia',Permanente,Frutales,CItricos,152.65,152.65,2753.82,18.04,'Citrus sinensis L. OSBECK','En fresco'
'Naranja demAs variedades',Permanente,Frutales,CItricos,0.92,0.52,5.19,9.98,'Citrus sinensis L. OSBECK','En fresco'
'Papaya  demAs variedades',Permanente,Frutales,'Demas frutales',12.5,4.5,153,34,'Carica papaya','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',3127,3115,43610,14,'Musa paradisiaca L.','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',5,3,80,26.67,'Lycopersicon esculentum','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',8,7,70,10,'Lycopersicon esculentum','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',483,483,4830,10,'Persea americana mill','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',17,17,170,10,'Persea americana','En fresco'
Guayaba,Permanente,Frutales,MirtAceas,87,87,1044,12,'Psidium guajava L.','En fresco'
'LimOn  Pajarito',Permanente,Frutales,CItricos,17.71,17.71,424.25,23.96,'Citrus limon L.','En fresco'
'LimOn  TahitI',Permanente,Frutales,CItricos,58.37,58.37,1351.24,23.15,'Citrus limon L.','En fresco'
Zanahoria,Transitorio,Hortalizas,'Hortalizas de raIz',0.2,0.2,4,20,'Daucus carota','En fresco'
'Mandarina Arrayana y/o Oneco',Permanente,Frutales,CItricos,201.83,201.83,5045.79,25,'Citrus reticulata','En fresco'
'Naranja Valencia',Permanente,Frutales,CItricos,887.15,887.15,17742.97,20,'Citrus sinensis L. OSBECK','En fresco'
'Naranja demAs variedades',Permanente,Frutales,CItricos,3.79,3.79,83.47,22.02,'Citrus sinensis L. OSBECK','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',650,650,9750,15,'Musa paradisiaca L.','En fresco'
'Otras hortalizas',Transitorio,Hortalizas,Hortalizas,2,2,1,0.5,'No aplica','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,2.5,2.5,11.25,4.5,'Phaseolus vulgaris','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,1,1,4.5,4.5,'Phaseolus vulgaris','En fresco'
'Aguacate Hass',Permanente,Frutales,'Demas frutales',23.3,19.3,173.7,9,'Persea americana hass','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',611.5,581.5,5815,10,'Musa paradisiaca L.','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',5,5,30,6,'Persea americana','En fresco'
GuanAbana,Permanente,Frutales,AnonAceas,4,4,32,8,'Annona muricata L.','En fresco'
Guayaba,Permanente,Frutales,MirtAceas,4,4,40,10,'Psidium guajava L.','En fresco'
'LimOn  Pajarito',Permanente,Frutales,CItricos,22,22,198,9,'Citrus limon L.','En fresco'
'LimOn  TahitI',Permanente,Frutales,CItricos,5,2,18,9,'Citrus limon L.','En fresco'
'Mango demAs variedades',Permanente,Frutales,'Demas frutales',6,6,48,8,'Mangifera indica L','En fresco'
'Naranja demAs variedades',Permanente,Frutales,CItricos,6,6,36,6,'Citrus sinensis L. OSBECK','En fresco'
'Papaya  Hawaiana, Maradol, Melona, Redonda y/o Tainung',Permanente,Frutales,'Demas frutales',17,15,375,25,'Carica papaya','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',50,47,376,8,'Musa paradisiaca L.','En fresco'
Ahuyama,Transitorio,Hortalizas,'Hortalizas de Futo',7,6,90,15,'Cucurbita maxima','En fresco'
Patilla,Transitorio,Hortalizas,'Hortalizas de Futo',6,5,35,7,'Citrullus lanatus','En fresco'
'Yuca consumo en fresco',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',8.5,8,80,10,'Manihot esculenta','En fresco'
Ahuyama,Transitorio,Hortalizas,'Hortalizas de Futo',6,5,70,14,'Cucurbita maxima','En fresco'
Patilla,Transitorio,Hortalizas,'Hortalizas de Futo',7,6,42,7,'Citrullus lanatus','En fresco'
'Yuca consumo en fresco',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',8,7,63,9,'Manihot esculenta','En fresco'
'Aguacate Hass',Permanente,Frutales,'Demas frutales',25,17,170,10,'Persea americana hass','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',40,40,280,7,'Persea americana','En fresco'
'LimOn  Pajarito',Permanente,Frutales,CItricos,0.09,0.09,0.55,6.11,'Citrus limon L.','En fresco'
'LimOn  TahitI',Permanente,Frutales,CItricos,0.3,0.3,1.83,6.1,'Citrus limon L.','En fresco'
'Mandarina Arrayana y/o Oneco',Permanente,Frutales,CItricos,0.76,0.76,7.56,9.95,'Citrus reticulata','En fresco'
'Naranja Valencia',Permanente,Frutales,CItricos,3.85,3.85,46.17,11.99,'Citrus sinensis L. OSBECK','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',199,197,1576,8,'Musa paradisiaca L.','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',3,3,60,20,'Lycopersicon esculentum','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',2.5,2.5,50,20,'Lycopersicon esculentum','En fresco'
'Aguacate Hass',Permanente,Frutales,'Demas frutales',271.92,0.92,11.04,12,'Persea americana hass','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',18.1,18.1,181,10,'Persea americana mill','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',677.98,677.98,14963.02,22.07,'Persea americana','En fresco'
'Gulupa o cholupa',Permanente,Frutales,PasiflorAceas,2,1.5,10.5,7,'Passiflora edulis Sims fo. Edulis','En fresco'
Mora,Permanente,Frutales,'Demas frutales',1,1,9,9,'Morus ssp','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',475,475,2351.25,4.95,'Musa paradisiaca L.','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',0.3,0.3,0.3,1,'Allium fistulosum','En fresco'
Cilantro,Transitorio,Hortalizas,'Hortalizas de Hoja',0.4,0.4,3.28,8.2,'Coriandrum sativum','En fresco'
Repollo,Transitorio,Hortalizas,'Hortalizas de Hoja',0.6,0.6,1.2,2,'Brassica oleracea var. capitata','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',2.7,2.6,267.8,103,'Lycopersicon esculentum','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,0.4,0.4,0.8,2,'Phaseolus vulgaris','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',0.3,0.3,0.3,1,'Allium fistulosum','En fresco'
Cilantro,Transitorio,Hortalizas,'Hortalizas de Hoja',0.42,0.4,3.28,8.2,'Coriandrum sativum','En fresco'
Repollo,Transitorio,Hortalizas,'Hortalizas de Hoja',0.7,0.6,1.2,2,'Brassica oleracea var. capitata','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',3.5,3,254,84.67,'Lycopersicon esculentum','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,0.42,0.42,0.84,2,'Phaseolus vulgaris','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',6,5,12,2.4,'Persea americana','En fresco'
'Banano consumo interno',Permanente,Frutales,'Demas frutales',37,30,450,15,'Musa cavendishii','En fresco'
GuanAbana,Permanente,Frutales,AnonAceas,1,0,0,0,'Annona muricata L.','En fresco'
'LimOn  Pajarito',Permanente,Frutales,CItricos,0.07,0.07,1,14.29,'Citrus limon L.','En fresco'
'LimOn  TahitI',Permanente,Frutales,CItricos,1.24,0.24,2.19,9.12,'Citrus limon L.','En fresco'
'Mandarina Arrayana y/o Oneco',Permanente,Frutales,CItricos,1.6,0.6,3,5,'Citrus reticulata','En fresco'
'Naranja Valencia',Permanente,Frutales,CItricos,4.06,3.06,19.01,6.21,'Citrus sinensis L. OSBECK','En fresco'
'Naranja demAs variedades',Permanente,Frutales,CItricos,1.02,0.02,0.36,18,'Citrus sinensis L. OSBECK','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',230,186,930,5,'Musa paradisiaca L.','En fresco'
'Cebolla De Bulbo',Transitorio,Hortalizas,'Hortalizas de raIz',0.2,0.2,4,20,'Allium cepa','En fresco'
